F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Class
16.77,1.25,1080,4.04,20,30.36,-7.24,112.86,9,7.74,-15.7,-36.32,26.1,-184.14,,False
12.45,1.63,156,-6.98,2,21.52,1.2,105.86,0.43,10.11,-25.06,-23.32,2.55,-208.14,,True
0.06,1.09,855,6.08,20,33.76,-9.06,262.86,9.15,6.01,-14.4,-36.32,26.25,-394.14,-6.67,False
1.8,2.04,435,1.72,20,31.96,-8.3,157.86,5.35,6.15,-17.64,-36.32,17.25,-64.14,,False
15.45,1.38,195,-8.7,2,21.1,-0.06,112.86,1.37,10.26,-27.5,-23.32,2.01,-250.14,,True
15.72,0.92,60,-4.9,0,19.88,-0.88,96.86,0.54,10.17,-25.1,-23.32,1.86,-157.14,-6.58,False
12.48,1.09,6,-3.64,2,21.4,-0.7,115.86,1.06,10.11,-25.82,-25.32,0.6,-160.14,-7.98,True
-1.23,2.37,990,6.94,20,39.16,-11.52,242.86,15.25,5.48,-20.9,-26.32,18.6,-304.14,,True
15.63,1.1,147,-5.6,2,21.22,-0.96,108.86,1.01,9.93,-27.02,-25.32,1.89,-157.14,-7.43,False
15.21,0.85,48,-4.38,2,19.98,-0.04,112.86,2.11,10.77,-29.74,-21.32,2.31,-244.14,,False
13.89,1.47,174,-3.06,2,21.44,1,85.86,1.14,10.03,-24.28,-23.32,2.97,-193.14,,True
17.85,0.99,90,-5.6,2,21.46,-1.14,117.86,1.49,10.48,-23.74,-25.32,2.64,-208.14,,True
13.47,2.46,108,-8.28,2,21.14,1.46,116.86,0.72,11.73,-23.88,-23.32,2.25,-244.14,-8.54,True
8.55,0.18,330,1.42,20,32.86,-9.22,107.86,8.9,8.24,-19.48,-36.32,15.75,-49.14,,False
3.15,3.42,915,2.36,20,31.96,-5.22,292.86,9.15,5.59,-14.96,-26.32,29.25,-469.14,,False
-1.71,1.15,765,5.26,20,30.66,-7.66,112.86,5.25,5.7,-15.44,-36.32,25.8,-274.14,-7.52,False
18.42,0.95,30,-6.14,2,20.88,1.32,83.86,0.71,11.68,-25.82,-23.32,2.34,-241.14,,True
16.02,0.88,21,-4.86,2,20.22,1.14,108.86,0.63,10.76,-25.36,-25.32,3.21,-175.14,-7.03,True
4.32,1.61,510,6.14,20,36.76,-10.3,242.86,7,8.77,-19.62,-26.32,16.95,-334.14,,False
3.75,2.79,555,-0.9,20,33.66,-10.28,97.86,6.2,8.23,-15.6,-36.32,16.8,-364.14,,False
-2.67,1.63,885,3.1,20,37.36,-6.4,217.86,7.35,7.79,-15.84,-36.32,23.7,-289.14,-8.26,True
1.62,-0.32,45,4.96,20,37.26,-10.28,287.86,5.5,6,-15.02,-36.32,17.85,-319.14,,True
14.94,2.95,78,-3.4,0,21.02,-1.06,93.86,1.25,10.68,-23.98,-21.32,2.25,-268.14,-7.88,True
1.32,-0.06,135,2.12,20,33.76,-9.94,302.86,5.95,7.77,-14.76,-36.32,25.5,-424.14,-8.73,True
-2.94,1.22,915,1.04,20,38.56,-10.3,87.86,6.1,6.22,-15.46,-36.32,18.75,-244.14,,True
3.09,1.86,210,5.26,20,32.36,-9.02,132.86,7.2,6.03,-16.02,-26.32,20.4,-364.14,,False
-0.15,-0.77,375,2,20,30.06,-9.78,167.86,6.5,7.24,-17.14,-46.32,26.4,10.86,,False
-1.11,-0.04,180,5.4,20,36.86,-8.1,237.86,5.85,5.25,-17.52,-36.32,17.25,-379.14,-9.72,True
2.7,1.49,240,4.86,20,33.96,-9.7,132.86,6.75,5.04,-15.06,-26.32,21.9,-319.14,,True
14.04,1.16,24,-9.24,2,20.9,-0.7,88.86,2.07,10.12,-29.42,-25.32,2.58,-184.14,,True
19.35,1.96,108,-6.56,2,20.16,7.16,86.86,1.63,10.19,-24.42,-23.32,2.22,-226.14,,False
18.27,5.43,33,-5.46,2,21.32,-1.24,94.86,1.37,11.46,-24.02,-21.32,2.55,-262.14,,True
15.54,1.69,24,-5.12,2,19.56,0.94,81.86,2.01,10.27,-27.4,-23.32,2.88,-259.14,-6.81,False
1.14,-0.3,135,3.4,20,29.46,-8.38,272.86,5.35,8.46,-17.78,-36.32,27.9,-4.14,-7.55,False
16.44,4.01,54,-4.08,2,20.54,0.36,119.86,0.46,10.23,-26.2,-25.32,2.37,-157.14,-8.2,False
0.75,0.93,1020,-0.26,20,30.96,-7.62,202.86,9.5,9.35,-18.66,-36.32,21.75,-244.14,,False
0.09,0.73,195,2.32,20,30.86,-10.24,132.86,9.15,5.64,-14.9,-36.32,25.95,-259.14,-8.84,True
17.25,1.31,60,-3.22,2,21.64,-1.18,82.86,1.64,9.99,-24.54,-21.32,0.66,-235.14,,True
13.98,2.3,33,-6.94,2,20.88,-0.06,95.86,1.35,11.88,-26.34,-23.32,0.45,-220.14,,False
13.8,-0.73,405,1.7,20,29.66,-6.16,212.86,13.85,8.64,-19.64,-36.32,16.8,-124.14,-7.81,False
3.3,0.74,675,3.96,20,34.56,-7.38,222.86,14.15,7,-18.14,-36.32,19.65,-154.14,-7.62,True
2.34,0.19,45,3.42,20,30.26,-7.94,117.86,6.65,7.93,-17,-36.32,16.05,-424.14,-8.11,False
12.42,1.38,165,-8.42,2,21.54,1.66,119.86,0.76,10.54,-31.4,-23.32,2.79,-187.14,,True
12.42,1,66,-5.1,2,21.22,0.16,94.86,0.88,10.05,-24.98,-23.32,2.55,-223.14,,True
22.05,1.57,135,-6.42,2,21.48,1,117.86,0.73,11.55,-24.82,-23.32,1.5,-199.14,-9.32,True
21.6,1.33,39,-10.28,2,21.52,1.82,83.86,1.17,11.86,-25.46,-25.32,2.55,-184.14,,True
13.11,1.93,21,-5.02,2,20.88,-0.6,96.86,1.15,10.51,-25.98,-23.32,0.12,-271.14,-6.81,False
-0.99,2.9,615,4.46,20,33.16,-9.24,157.86,6.7,5.54,-19.24,-46.32,18.3,-4.14,-8.21,True
12.36,1.02,93,-7.52,2,21.08,0.72,115.86,0.67,12.8,-25.66,-23.32,2.04,-184.14,-7.04,False
12.72,2.84,48,-7.18,2,20.7,-0.8,90.86,0.27,10.93,-26.64,-25.32,0.72,-193.14,,False
0.48,3.41,390,4.1,20,33.86,-7.48,247.86,5.3,5.94,-15.6,-36.32,18.9,-439.14,-5.27,False
15,0.98,18,-6.94,2,19.9,-0.58,96.86,1.48,10.76,-26.86,-23.32,1.71,-241.14,-6.57,False
13.47,2.09,78,-4.92,2,21.06,-0.28,104.86,1.34,10.14,-25.7,-23.32,0.15,-184.14,-6.94,False
13.32,3.34,147,-6.16,2,20.46,2.86,102.86,1.13,10.43,-26.36,-25.32,2.4,-190.14,-7.13,False
12.09,1.07,198,-3.34,2,21.52,1.1,85.86,1.05,10.25,-31.5,-25.32,0.87,-184.14,-7.81,True
2.64,-0.14,870,-4.18,20,28.96,-7.68,112.86,12.1,8.51,-16.76,-36.32,23.85,-79.14,,False
13.44,0.59,6,-3.96,2,21.02,1.26,90.86,0.61,10.55,-27.52,-23.32,2.58,-157.14,-9.05,True
17.61,2.72,30,-9.74,2,21.14,2.42,118.86,0.42,13.41,-27.26,-23.32,1.92,-217.14,,False
-3.15,1.38,450,5.68,20,39.06,-9.98,247.86,7.05,5.02,-16.52,-36.32,21.45,-424.14,-8.29,True
-2.52,1.11,645,3.18,20,38.66,-11.24,272.86,7.5,4.96,-14.1,-36.32,19.65,-259.14,-8.77,True
15.69,0.82,129,-5.7,2,20.58,1.72,98.86,1.67,11.56,-24.58,-23.32,1.38,-175.14,,False
-2.37,1.16,765,5.94,20,32.36,-6.28,132.86,15.25,5.44,-14.04,-26.32,27.3,-469.14,,True
13.26,2.87,39,-4.12,2,20.4,1.62,80.86,0.11,12.23,-28.4,-23.32,1.8,-166.14,-7.52,False
2.82,3.32,780,0.86,20,31.96,-9.28,162.86,7.05,5.95,-15.92,-26.32,21.3,-244.14,,False
14.28,2.19,24,-3.78,2,19.9,-0.66,87.86,2.02,11.55,-24.92,-23.32,2.04,-241.14,,False
3.54,3.14,990,5.6,20,35.26,-10.84,112.86,6.2,5.2,-17.5,-26.32,21.75,-244.14,-7.29,False
2.52,0.84,330,3.22,20,32.66,-5.78,292.86,13.8,7.16,-20,-26.32,21.15,-484.14,,False
8.46,0.58,570,4.34,20,31.26,-9.08,137.86,7.95,5.66,-15.98,-36.32,26.1,-409.14,,False
