F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,Target
0,1.73,3.14,5.73,-5.48,-743.61,152.2,Europe,3,1577.82,-383.82,12,-2289.14,-19.69,High,25354.83,167.75
9.84,3.46,6.02,14.42,-10.94,-820.35,68.56,Rest,4,1884.69,-488.34,6,-2899.2,-19.46,Very low,32380.17,704.46
4.14,-1.95,6.96,4.27,-7.94,-818.43,107.86,Rest,4,2063.79,-287.76,6,-2885.52,-20.57,Very high,28882.38,302.43
20.06,-3.34,3.76,4.78,-6.3,-814.53,147.04,UK,7,1319.19,-435.54,4,-2319.8,-20.24,Very high,28523.04,2420.98
63.63,-0.97,11.08,5.66,-9.6,-847.41,99.7,Europe,1,1921.14,-246.45,10,-1344.4,-21.9,Medium,27915.81,271.65
0.08,1.96,6.42,2.99,5.58,-842.97,145.08,USA,1,1776.09,-284.25,8,-2514.98,-28.5,Very low,19420.17,0
1.93,2.2,1.82,10,-21.66,-850.44,114.92,Rest,4,113.94,-158.28,6,-2640.94,-19.32,Very low,-3266.01,1226.5
0.21,0.33,8.06,3.04,-17.76,-926.04,138.52,USA,3,1945.71,-375.9,10,-2302.68,-28.86,High,-16705.02,291.94
3.69,4.66,13.74,0.34,-4,-790.62,86.26,USA,7,817.98,-363,16,-2486.88,-19.03,High,20875.11,261.69
0.01,6.33,15.12,0.61,-0.74,-687.12,156.98,Europe,4,886.86,-188.07,8,-1394.52,-16.95,Very high,37688.91,1188.84
1.75,-1.1,4.12,2.88,-4.34,-820.92,-33.8,Rest,5,2084.88,-202.83,10,-903.84,-23.51,Medium,35690.1,0
0.01,0.22,9.98,2.04,-11.74,-758.55,119.58,Rest,0,2214.96,-367.59,4,-2030.46,-15.07,Low,-1164.18,0
391.1,4.99,2.8,6.94,-11.42,-827.22,183.12,USA,3,584.94,-221.01,8,-1514.12,-20.06,High,19566.69,1759
80.43,-1.22,0.48,0.4,-14.9,-624.72,102.28,Rest,4,2400.03,-354.39,2,-1963.26,-20.52,High,28378.23,0
768.07,4.25,4.46,4.77,-6.48,-975.21,128.36,USA,4,2235.81,-312.54,14,-2029.08,-16.88,Very high,28941.36,194.97
0.69,-0.1,5.7,2.23,-10.64,-671.61,133.58,Rest,5,1399.05,-403.56,8,-2323.44,-23.57,Very low,1132.32,10.3
0.67,-1.76,7.24,4.51,-7.48,-916.65,115.54,USA,4,937.65,-291.3,4,-2921.08,-18.29,Very low,34264.11,229.03
1.65,-4.19,8.44,5.12,-3.54,-623.43,117.7,Europe,6,1303.71,-355.26,6,-2476.48,-19.48,Very low,32736.9,312.91
0,2.85,18.88,1.46,-4.98,-379.98,148.22,Europe,4,1498.17,-352.83,6,-2119.72,-21.99,Low,26035.17,692.22
0.58,1.17,3.18,10.68,-13.04,-917.55,211.56,USA,6,2359.74,-311.94,10,-1790.18,-19.96,Medium,15199.2,1930.62
0.03,3.27,2.62,5.82,2.38,-715.59,164.54,Rest,4,2249.58,-381.81,6,-2641.82,-15.06,Very low,21106.26,54.68
1.85,-2.67,2.04,5.07,-9.86,-756.24,76.62,UK,7,179.01,-324.36,6,-2714.94,-19.19,Very low,48199.5,0
0.27,-1.25,6.78,5.14,0.16,-740.01,173.72,Rest,10,1137.3,-389.76,10,-2009.92,-16.51,Medium,16897.65,3614.08
5.21,4.13,4.46,11.3,-6.62,-854.91,171.04,UK,2,2795.22,-471.9,8,-2023.86,-20.36,Medium,26538.27,1609.96
13.95,3.01,1.22,3.42,-8.24,-909.75,236.08,UK,6,1035.24,-335.73,8,-2139.52,-18.88,High,33301.65,2362.58
2.48,1.39,2.16,5.19,-6.44,-1091.7,32.6,Rest,5,1029.03,-267.6,6,-1935.02,-17.7,Medium,50220.54,100.51
2.62,2.61,4.02,5.64,-9.84,-1131.72,120.1,UK,7,836.55,-175.83,12,-1908.72,-19.25,High,35948.16,1753.28
0.39,2.98,5.14,1.1,-12.06,-803.82,41.6,USA,7,1007.97,-407.37,8,-1171.74,-21.53,Very high,25553.16,874.2
0.27,3.16,3.7,3.49,-10.92,-828.84,179.46,Europe,4,3206.07,-348.69,6,-2473.1,-26.44,Low,39656.25,7.3
0.67,-6.41,3.98,3.68,-14.8,-754.14,26.5,Rest,4,1319.34,-286.05,6,-1176.52,-20.08,Medium,12002.79,215.61
32.53,-0.18,4.86,4.81,-7.28,-754.05,57.82,UK,6,2055.03,-228.12,6,-2874.14,-17.69,Medium,17136.93,0
0.02,5.81,2.94,0.74,-5.06,-834.75,112.74,Europe,3,3385.11,-258.15,12,-1573.34,-19.97,Medium,23346.99,0
41.23,-2.87,1.4,3.58,-4.86,-621.15,170.72,UK,2,537.51,-377.01,8,-1345.92,-19.35,Very high,29018.4,1993.53
0.17,3.85,15.5,0.83,2.84,-918.09,117.02,Rest,5,1727.04,-401.31,4,-1979.28,-20.2,Very high,22021.26,3195.71
0.22,9.21,6.42,1.01,-7.16,-606.21,328.1,USA,7,1577.97,-421.5,4,-2375.14,-20.88,Very high,-899.61,2745.53
6.69,-0.63,3.8,2.13,-3.86,-1033.47,130.02,UK,1,384.33,-360.96,8,-2434.72,-21.79,Very low,37638.12,0
38.59,1.02,14.34,6.8,-3.92,-672,122,UK,5,1228.47,-409.47,8,-2490.14,-15.43,Very high,23663.07,2574.41
2.72,-0.68,3.98,4.7,-10.48,-1288.62,188.3,USA,4,-247.5,-347.85,8,-2557.2,-24.19,High,39806.1,1413.83
290.28,0.77,9,5.24,-0.7,-903.9,151.12,Europe,5,2035.32,-347.91,2,-3517.7,-26.42,High,35157.87,394.02
0.17,0.75,8.9,1.06,-15.82,-889.14,150.02,Rest,4,1428.51,-231.6,4,-2809.66,-18.24,Low,34637.79,249.47
